               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09651,            0.049409,            0.031533,             0.51666,              0.2756,             0.15895,            0.051299,            0.071289,            0.040334,            0.023435,             0.00125,             0.00125,             0.08875
                   1,             0.06751,            0.044304,            0.021477,               0.277,             0.27926,             0.24329,             0.10047,            0.061739,            0.031876,            0.016673,           0.0024961,           0.0024961,            0.077396
                   2,            0.061077,            0.041214,            0.015329,             0.35093,              0.4516,             0.34386,             0.14491,            0.055314,            0.030158,           0.0095873,            0.003687,            0.003687,            0.065987
                   3,            0.055801,            0.040909,            0.010947,             0.30333,             0.49385,             0.31758,            0.093614,            0.064904,            0.027174,           0.0088177,           0.0047833,           0.0047833,            0.054483
                   4,            0.056614,             0.03808,           0.0099341,             0.44362,             0.57027,             0.45204,             0.18801,            0.048607,            0.027291,           0.0067717,           0.0057494,           0.0057494,            0.042849
                   5,            0.051257,            0.037325,           0.0086066,             0.52696,               0.598,             0.48252,             0.22354,            0.046082,            0.027875,           0.0062681,           0.0065549,           0.0065549,            0.031055
                   6,            0.048514,            0.037498,           0.0079658,             0.55712,             0.57833,             0.52356,              0.2584,            0.044326,            0.027932,           0.0064357,           0.0071758,           0.0071758,            0.019076
                   7,            0.047722,            0.037011,           0.0078869,             0.58041,             0.64917,             0.56937,             0.28759,            0.041322,            0.026686,           0.0053577,            0.007543,            0.007543,            0.007543
                   8,            0.045088,            0.037939,           0.0071454,             0.55582,             0.66101,              0.5556,             0.27966,            0.040978,            0.027133,           0.0060824,            0.007543,            0.007543,            0.007543
                   9,            0.042112,             0.03623,           0.0067907,             0.60549,             0.64525,             0.58686,             0.30116,            0.040565,            0.027018,           0.0052819,           0.0068906,           0.0068906,           0.0068906
                  10,            0.039843,            0.035795,           0.0063163,             0.66162,             0.66851,             0.62063,             0.33923,            0.037655,            0.025472,           0.0041012,            0.006204,            0.006204,            0.006204
                  11,            0.038433,             0.03654,           0.0055287,             0.64986,             0.71897,             0.65872,             0.36747,             0.03575,             0.02537,           0.0039794,              0.0055,              0.0055,              0.0055
                  12,            0.036916,            0.035154,           0.0052149,             0.67259,             0.73154,             0.67052,             0.38427,             0.03438,            0.024116,           0.0033978,            0.004796,            0.004796,            0.004796
                  13,            0.035723,            0.033919,           0.0050121,              0.6935,             0.74723,             0.69883,             0.40256,            0.033611,            0.023895,           0.0032351,           0.0041094,           0.0041094,           0.0041094
                  14,            0.034496,            0.032653,           0.0046249,             0.70535,             0.76056,              0.7139,             0.41836,             0.03284,             0.02327,           0.0027142,            0.003457,            0.003457,            0.003457
                  15,            0.033051,            0.033579,           0.0041183,             0.72437,             0.78505,             0.73487,             0.43948,            0.031502,            0.022621,            0.002517,            0.002855,            0.002855,            0.002855
                  16,            0.032463,            0.031871,             0.00419,             0.73075,             0.78411,             0.74368,             0.45061,            0.030863,            0.022215,           0.0023684,            0.002318,            0.002318,            0.002318
                  17,            0.031887,             0.03261,           0.0040377,             0.73129,             0.79983,             0.75136,             0.46399,            0.029997,            0.021857,           0.0021933,           0.0018594,           0.0018594,           0.0018594
                  18,            0.031087,            0.032049,           0.0037791,             0.75041,             0.79499,             0.75907,             0.47024,            0.029545,            0.021578,           0.0020388,           0.0014905,           0.0014905,           0.0014905
                  19,            0.030611,            0.031578,            0.003505,             0.73937,             0.81686,             0.76593,             0.47673,            0.029338,            0.021344,           0.0019973,           0.0012202,           0.0012202,           0.0012202
