               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10768,             0.04806,            0.036252,            0.017941,            0.041202,           0.0066879,           0.0012561,            0.093847,            0.033221,            0.030671,             0.00059,             0.00059,             0.09469
                   1,            0.086246,            0.050396,            0.029133,             0.42102,             0.28114,            0.084875,            0.020833,            0.074807,            0.031898,            0.022984,           0.0011834,           0.0011834,            0.089283
                   2,            0.069206,            0.045174,            0.024383,             0.52511,             0.20569,             0.13734,            0.037338,            0.071037,            0.026242,            0.020281,           0.0017506,           0.0017506,            0.083851
                   3,            0.066895,            0.043071,            0.021237,             0.54361,             0.27931,             0.20656,            0.072961,            0.062967,            0.025485,            0.017563,           0.0022728,           0.0022728,            0.078373
                   4,            0.062243,            0.041045,            0.019166,             0.31296,              0.3729,             0.25855,            0.094885,            0.057835,            0.024351,            0.013841,            0.002733,            0.002733,            0.072833
                   5,            0.059254,             0.03936,             0.01613,             0.29331,             0.46044,             0.30055,            0.099196,            0.059091,              0.0232,            0.010866,           0.0031168,           0.0031168,            0.067217
                   6,            0.056454,            0.039316,            0.013888,              0.4021,             0.44365,             0.36717,             0.16121,             0.05522,            0.022686,           0.0093884,           0.0034128,           0.0034128,            0.061513
                   7,            0.054485,            0.038587,            0.011713,             0.40755,             0.49189,             0.38233,             0.14782,            0.053817,            0.022189,           0.0082237,           0.0036131,           0.0036131,            0.055713
                   8,            0.056744,            0.037661,            0.010681,              0.4846,             0.46363,             0.40804,             0.18536,            0.051648,            0.021916,           0.0082452,            0.003714,            0.003714,            0.049814
                   9,             0.05401,            0.037295,            0.010116,             0.45589,             0.52297,             0.42983,             0.18085,            0.052215,            0.021887,           0.0080311,           0.0037162,           0.0037162,            0.043816
                  10,            0.052061,            0.036548,           0.0096752,             0.53569,             0.48488,             0.44362,             0.22251,            0.048751,            0.021926,           0.0076543,           0.0036245,           0.0036245,            0.037725
                  11,            0.048295,            0.034732,           0.0089545,              0.5512,             0.55558,             0.49851,             0.23989,            0.046541,             0.02144,           0.0069783,           0.0034484,           0.0034484,            0.031548
                  12,             0.04694,            0.035207,           0.0080477,             0.55103,              0.5132,             0.48524,             0.23817,            0.046898,            0.021078,           0.0071341,           0.0032012,           0.0032012,            0.025301
                  13,            0.043933,            0.034358,           0.0082448,             0.55051,             0.53867,             0.50344,             0.22549,            0.048558,            0.021084,           0.0066367,           0.0029005,           0.0029005,               0.019
                  14,            0.045115,            0.034852,           0.0081699,             0.51501,             0.55836,             0.49296,             0.24724,             0.04666,            0.021274,           0.0071112,           0.0025666,           0.0025666,            0.012667
                  15,            0.042657,            0.032909,            0.007212,              0.5848,             0.57346,             0.52813,             0.28397,            0.043463,            0.021474,           0.0062208,            0.002223,            0.002223,            0.006323
                  16,            0.040826,            0.033732,           0.0070905,             0.55838,             0.58741,              0.5325,             0.27735,            0.042977,            0.021002,           0.0064446,           0.0018594,           0.0018594,           0.0018594
                  17,            0.040792,            0.034042,           0.0067822,             0.59784,             0.55838,             0.51744,             0.27512,            0.043282,            0.021003,           0.0066434,           0.0018594,           0.0018594,           0.0018594
                  18,            0.039487,             0.03168,           0.0063071,             0.64925,             0.53591,             0.54458,             0.27993,            0.043336,            0.021309,           0.0060522,           0.0014905,           0.0014905,           0.0014905
                  19,            0.038362,            0.033282,            0.006399,             0.61843,             0.53516,             0.53088,             0.29082,            0.042321,            0.020819,           0.0064412,           0.0012202,           0.0012202,           0.0012202
