               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11432,            0.050024,            0.038534,           0.0038686,             0.11716,           0.0022999,          0.00045793,             0.10723,            0.040577,            0.036984,             0.00025,             0.00025,             0.09775
                   1,              0.1047,             0.05381,            0.035673,            0.012122,            0.047838,           0.0067503,           0.0012918,             0.09859,            0.042492,            0.033937,          0.00050717,          0.00050717,            0.095407
                   2,            0.097324,            0.056589,            0.032339,            0.068466,              0.1113,            0.040068,            0.010258,            0.090524,             0.04344,            0.030812,          0.00075304,          0.00075304,            0.093053
                   3,            0.088306,            0.057403,            0.029549,             0.17929,              0.1951,             0.12328,            0.034188,            0.082342,            0.040638,             0.02806,          0.00097948,          0.00097948,            0.090679
                   4,             0.07888,            0.053463,            0.027405,             0.60899,             0.23518,              0.1984,            0.063121,            0.074772,             0.03986,            0.025685,           0.0011791,           0.0011791,            0.088279
                   5,            0.071626,            0.050922,            0.025203,             0.64726,             0.25519,             0.24977,             0.10071,            0.068335,            0.036935,            0.023927,           0.0013457,           0.0013457,            0.085846
                   6,            0.068938,            0.048108,            0.024295,             0.60439,             0.23946,             0.22225,            0.074007,            0.072011,            0.033886,            0.022762,           0.0014743,           0.0014743,            0.083374
                   7,            0.069077,            0.046093,             0.02256,             0.64005,             0.29135,             0.26759,            0.076074,            0.066707,             0.03294,            0.021554,           0.0015614,           0.0015614,            0.080861
                   8,            0.065024,            0.046574,            0.021884,             0.59691,             0.32919,             0.26524,             0.08917,            0.063739,            0.032342,            0.020135,           0.0016055,           0.0016055,            0.078306
                   9,            0.061095,            0.043573,            0.021498,             0.28767,             0.34322,             0.30393,              0.1135,            0.059733,            0.031254,             0.01838,           0.0016068,           0.0016068,            0.075707
                  10,             0.06004,            0.046773,            0.020184,             0.35491,             0.35846,             0.32767,             0.10242,            0.060986,            0.030375,            0.016974,           0.0015675,           0.0015675,            0.073068
                  11,            0.058099,            0.044099,            0.018579,             0.44228,             0.41824,             0.39723,             0.18526,            0.054445,            0.029973,            0.015376,           0.0014916,           0.0014916,            0.070392
                  12,            0.055744,            0.042362,            0.018624,             0.42792,             0.46107,             0.41328,             0.18644,            0.053601,            0.029191,            0.014013,           0.0013849,           0.0013849,            0.067685
                  13,            0.054154,            0.042363,              0.0163,             0.45886,             0.48404,             0.45554,              0.2081,            0.051507,            0.028643,            0.012837,           0.0012549,           0.0012549,            0.064955
                  14,            0.053413,            0.042166,            0.016268,             0.46934,             0.53344,             0.49902,             0.24305,            0.050431,            0.028449,            0.012249,           0.0011106,           0.0011106,            0.062211
                  15,            0.050254,            0.043992,             0.01502,             0.45898,             0.56898,             0.51849,             0.24817,            0.049942,            0.028506,            0.011537,          0.00096198,          0.00096198,            0.059462
                  16,            0.049227,            0.042577,            0.014647,             0.50722,             0.57049,             0.54277,             0.27962,            0.048078,            0.027716,            0.011002,          0.00082001,          0.00082001,             0.05672
                  17,            0.048564,            0.041897,            0.013923,             0.57816,             0.54117,             0.54904,             0.28127,            0.047324,            0.027336,            0.010504,          0.00069605,          0.00069605,            0.053996
                  18,            0.046702,            0.041044,            0.013152,             0.58785,             0.54979,             0.57511,              0.3158,            0.045636,            0.026849,            0.010149,          0.00060158,          0.00060158,            0.051302
                  19,            0.048176,             0.04053,            0.012495,             0.55247,             0.53881,             0.54497,             0.25197,            0.049095,            0.026704,           0.0098589,          0.00054775,          0.00054775,            0.048648
