               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10763,            0.052547,            0.035673,            0.017863,            0.077186,           0.0081934,           0.0015627,            0.094619,            0.036383,            0.030088,             0.00059,             0.00059,             0.09469
                   1,            0.084734,            0.054022,            0.027939,             0.43336,             0.31088,             0.13816,            0.037984,             0.07305,            0.036237,            0.023264,           0.0011834,           0.0011834,            0.089283
                   2,            0.068667,            0.048149,            0.023545,             0.66615,             0.23582,             0.23065,            0.066591,            0.067567,            0.027979,            0.020529,           0.0017506,           0.0017506,            0.083851
                   3,            0.067021,            0.045715,            0.021444,             0.61944,             0.27967,             0.26401,            0.098754,             0.06351,            0.026707,            0.018471,           0.0022728,           0.0022728,            0.078373
                   4,             0.06349,            0.043065,            0.019636,             0.42381,             0.33756,             0.34946,             0.12157,            0.060446,            0.025159,            0.014719,            0.002733,            0.002733,            0.072833
                   5,            0.060152,            0.040884,            0.016515,             0.42366,             0.45636,             0.38007,             0.15191,            0.058155,            0.024145,            0.011776,           0.0031168,           0.0031168,            0.067217
                   6,            0.056777,            0.041632,            0.013814,             0.42553,             0.47174,             0.39635,             0.13824,            0.056505,            0.024519,           0.0096771,           0.0034128,           0.0034128,            0.061513
                   7,            0.054474,            0.040459,            0.011921,             0.48427,             0.50451,             0.47626,             0.20841,            0.053663,            0.023272,           0.0095258,           0.0036131,           0.0036131,            0.055713
                   8,            0.055237,            0.039237,            0.011092,             0.50264,             0.53162,             0.47031,             0.20194,            0.052715,            0.023449,           0.0085738,            0.003714,            0.003714,            0.049814
                   9,            0.055515,            0.038865,            0.010591,             0.48653,             0.55927,             0.50471,             0.20499,            0.054979,             0.02236,           0.0089185,           0.0037162,           0.0037162,            0.043816
                  10,             0.05243,            0.038339,           0.0098576,             0.59982,             0.54787,             0.55011,             0.22395,            0.048872,            0.023128,           0.0076174,           0.0036245,           0.0036245,            0.037725
                  11,            0.049342,            0.036347,           0.0093018,             0.59785,             0.59042,             0.57039,             0.27581,            0.045972,            0.022373,            0.006862,           0.0034484,           0.0034484,            0.031548
                  12,            0.047252,            0.037616,           0.0086705,             0.58204,             0.62432,             0.59879,             0.29209,            0.046436,            0.021999,           0.0068936,           0.0032012,           0.0032012,            0.025301
                  13,            0.044159,            0.036066,           0.0082225,             0.52691,             0.60873,             0.56038,             0.26544,            0.050165,            0.022949,           0.0068164,           0.0029005,           0.0029005,               0.019
                  14,            0.046263,            0.035569,           0.0080972,             0.61967,             0.62477,             0.59826,              0.3086,            0.044542,            0.021784,            0.006627,           0.0025666,           0.0025666,            0.012667
                  15,            0.043265,            0.036338,             0.00739,             0.65046,             0.61124,             0.61293,             0.31572,            0.044478,            0.021827,           0.0064672,            0.002223,            0.002223,            0.006323
                  16,            0.042475,            0.036453,           0.0067662,             0.68095,             0.62653,             0.62799,             0.31645,            0.044375,             0.02149,           0.0062891,           0.0018594,           0.0018594,           0.0018594
                  17,            0.041053,            0.035599,           0.0066784,             0.72545,             0.59335,             0.64509,               0.333,            0.042928,            0.021522,           0.0060731,           0.0018594,           0.0018594,           0.0018594
                  18,            0.039298,            0.034549,           0.0066872,             0.66605,             0.63914,             0.64789,             0.34429,            0.042458,            0.021415,           0.0058798,           0.0014905,           0.0014905,           0.0014905
                  19,            0.038339,            0.034518,           0.0065876,             0.74016,             0.61576,             0.66759,             0.35457,            0.041669,            0.021009,           0.0057928,           0.0012202,           0.0012202,           0.0012202
